GEO_ID,STATE,STATEFP,LEA,SDNAME,TYPE,
0100001,AL,01,00001,Fort Rucker School District,Unified,
0100003,AL,01,00003,Maxwell AFB School District,Unified,
0100005,AL,01,00005,Albertville City School District,Unified,
0100006,AL,01,00006,Marshall County School District,Unified,
0100007,AL,01,00007,Hoover City School District,Unified,
0100008,AL,01,00008,Madison City School District,Unified,
0100011,AL,01,00011,Leeds City School District,Unified,
0100012,AL,01,00012,Boaz City School District,Unified,
0100013,AL,01,00013,Trussville City School District,Unified,
0100030,AL,01,00030,Alexander City City School District,Unified,
0100060,AL,01,00060,Andalusia City School District,Unified,
0100090,AL,01,00090,Anniston City School District,Unified,
0100100,AL,01,00100,Arab City School District,Unified,
0100120,AL,01,00120,Athens City School District,Unified,
0100180,AL,01,00180,Attalla City School District,Unified,
0100185,AL,01,00185,Saraland City School District,Unified,
0100210,AL,01,00210,Auburn City School District,Unified,
0100240,AL,01,00240,Autauga County School District,Unified,
0100270,AL,01,00270,Baldwin County School District,Unified,
0100300,AL,01,00300,Barbour County School District,Unified,
0100330,AL,01,00330,Bessemer City School District,Unified,
0100360,AL,01,00360,Bibb County School District,Unified,
0100390,AL,01,00390,Birmingham City School District,Unified,
0100420,AL,01,00420,Blount County School District,Unified,
0100450,AL,01,00450,Brewton City School District,Unified,
0100480,AL,01,00480,Bullock County School District,Unified,
0100510,AL,01,00510,Butler County School District,Unified,
0100540,AL,01,00540,Calhoun County School District,Unified,
0100600,AL,01,00600,Chambers County School District,Unified,
0100630,AL,01,00630,Cherokee County School District,Unified,
0100660,AL,01,00660,Chilton County School District,Unified,
0100690,AL,01,00690,Choctaw County School District,Unified,
0100720,AL,01,00720,Clarke County School District,Unified,
0100750,AL,01,00750,Clay County School District,Unified,
0100780,AL,01,00780,Cleburne County School District,Unified,
0100810,AL,01,00810,Coffee County School District,Unified,
0100840,AL,01,00840,Colbert County School District,Unified,
0100870,AL,01,00870,Conecuh County School District,Unified,
0100900,AL,01,00900,Coosa County School District,Unified,
0100930,AL,01,00930,Covington County School District,Unified,
0100960,AL,01,00960,Crenshaw County School District,Unified,
0100990,AL,01,00990,Cullman City School District,Unified,
0101020,AL,01,01020,Cullman County School District,Unified,
0101050,AL,01,01050,Dale County School District,Unified,
0101080,AL,01,01080,Daleville City School District,Unified,
0101110,AL,01,01110,Dallas County School District,Unified,
0101140,AL,01,01140,DeKalb County School District,Unified,
0101170,AL,01,01170,Decatur City School District,Unified,
0101200,AL,01,01200,Demopolis City School District,Unified,
0101230,AL,01,01230,Dothan City School District,Unified,
0101260,AL,01,01260,Elba City School District,Unified,
0101290,AL,01,01290,Elmore County School District,Unified,
0101320,AL,01,01320,Enterprise City School District,Unified,
0101350,AL,01,01350,Escambia County School District,Unified,
0101380,AL,01,01380,Etowah County School District,Unified,
0101410,AL,01,01410,Eufaula City School District,Unified,
0101440,AL,01,01440,Fairfield City School District,Unified,
0101470,AL,01,01470,Fayette County School District,Unified,
0101530,AL,01,01530,Florence City School District,Unified,
0101560,AL,01,01560,Fort Payne City School District,Unified,
0101590,AL,01,01590,Franklin County School District,Unified,
0101620,AL,01,01620,Gadsden City School District,Unified,
0101640,AL,01,01640,Geneva City School District,Unified,
0101660,AL,01,01660,Geneva County School District,Unified,
0101680,AL,01,01680,Greene County School District,Unified,
0101690,AL,01,01690,Guntersville City School District,Unified,
0101710,AL,01,01710,Hale County School District,Unified,
0101720,AL,01,01720,Haleyville City School District,Unified,
0101730,AL,01,01730,Hartselle City School District,Unified,
0101740,AL,01,01740,Henry County School District,Unified,
0101760,AL,01,01760,Homewood City School District,Unified,
0101770,AL,01,01770,Houston County School District,Unified,
0101800,AL,01,01800,Huntsville City School District,Unified,
0101830,AL,01,01830,Jackson County School District,Unified,
0101860,AL,01,01860,Jacksonville City School District,Unified,
0101890,AL,01,01890,Jasper City School District,Unified,
0101920,AL,01,01920,Jefferson County School District,Unified,
0101950,AL,01,01950,Lamar County School District,Unified,
0101980,AL,01,01980,Lanett City School District,Unified,
0102010,AL,01,02010,Lauderdale County School District,Unified,
0102040,AL,01,02040,Lawrence County School District,Unified,
0102070,AL,01,02070,Lee County School District,Unified,
0102100,AL,01,02100,Limestone County School District,Unified,
0102130,AL,01,02130,Linden City School District,Unified,
0102160,AL,01,02160,Lowndes County School District,Unified,
0102190,AL,01,02190,Macon County School District,Unified,
0102220,AL,01,02220,Madison County School District,Unified,
0102250,AL,01,02250,Marengo County School District,Unified,
0102310,AL,01,02310,Marion County School District,Unified,
0102350,AL,01,02350,Midfield City School District,Unified,
0102370,AL,01,02370,Mobile County School District,Unified,
0102400,AL,01,02400,Monroe County School District,Unified,
0102430,AL,01,02430,Montgomery County School District,Unified,
0102480,AL,01,02480,Morgan County School District,Unified,
0102490,AL,01,02490,Mountain Brook City School District,Unified,
0102520,AL,01,02520,Muscle Shoals City School District,Unified,
0102550,AL,01,02550,Oneonta City School District,Unified,
0102580,AL,01,02580,Opelika City School District,Unified,
0102610,AL,01,02610,Opp City School District,Unified,
0102635,AL,01,02635,Oxford City School District,Unified,
0102640,AL,01,02640,Ozark City School District,Unified,
0102650,AL,01,02650,Pell City City School District,Unified,
0102670,AL,01,02670,Perry County School District,Unified,
0102700,AL,01,02700,Phenix City City School District,Unified,
0102730,AL,01,02730,Pickens County School District,Unified,
0102760,AL,01,02760,Piedmont City School District,Unified,
0102790,AL,01,02790,Pike County School District,Unified,
0102820,AL,01,02820,Randolph County School District,Unified,
0102850,AL,01,02850,Roanoke City School District,Unified,
0102880,AL,01,02880,Russell County School District,Unified,
0102910,AL,01,02910,Russellville City School District,Unified,
0102940,AL,01,02940,Scottsboro City School District,Unified,
0102970,AL,01,02970,Selma City School District,Unified,
0103000,AL,01,03000,Sheffield City School District,Unified,
0103030,AL,01,03030,Shelby County School District,Unified,
0103062,AL,01,03062,St. Clair County School District,Unified,
0103090,AL,01,03090,Sumter County School District,Unified,
0103120,AL,01,03120,Sylacauga City School District,Unified,
0103150,AL,01,03150,Talladega City School District,Unified,
0103180,AL,01,03180,Talladega County School District,Unified,
0103210,AL,01,03210,Tallapoosa County School District,Unified,
0103240,AL,01,03240,Tallassee City School District,Unified,
0103270,AL,01,03270,Tarrant City School District,Unified,
0103300,AL,01,03300,Thomasville City School District,Unified,
0103330,AL,01,03330,Troy City School District,Unified,
0103360,AL,01,03360,Tuscaloosa City School District,Unified,
0103390,AL,01,03390,Tuscaloosa County School District,Unified,
0103420,AL,01,03420,Tuscumbia City School District,Unified,
0103430,AL,01,03430,Vestavia Hills City School District,Unified,
0103450,AL,01,03450,Walker County School District,Unified,
0103480,AL,01,03480,Washington County School District,Unified,
0103510,AL,01,03510,Wilcox County School District,Unified,
0103540,AL,01,03540,Winfield City School District,Unified,
0103580,AL,01,03580,Winston County School District,Unified,
0200001,AK,02,00001,Lower Kuskokwim School District,Unified,
0200003,AK,02,00003,Lower Yukon School District,Unified,
0200004,AK,02,00004,Yupiit School District,Unified,
0200005,AK,02,00005,Kashunamiut School District,Unified,
0200007,AK,02,00007,Aleutians East Borough School District,Unified,
0200010,AK,02,00010,Aleutian Region School District,Unified,
0200020,AK,02,00020,Bering Strait School District,Unified,
0200030,AK,02,00030,Bristol Bay Borough School District,Unified,
0200050,AK,02,00050,Alaska Gateway School District,Unified,
0200060,AK,02,00060,Cordova City School District,Unified,
0200070,AK,02,00070,Copper River School District,Unified,
0200090,AK,02,00090,Craig City School District,Unified,
0200100,AK,02,00100,Delta/Greely School District,Unified,
0200120,AK,02,00120,Dillingham City School District,Unified,
0200130,AK,02,00130,Galena City School District,Unified,
0200150,AK,02,00150,Ketchikan Gateway Borough School District,Unified,
0200180,AK,02,00180,Anchorage School District,Unified,
0200210,AK,02,00210,Juneau Borough School District,Unified,
0200240,AK,02,00240,Sitka Borough School District,Unified,
0200270,AK,02,00270,Haines Borough School District,Unified,
0200300,AK,02,00300,Hoonah City School District,Unified,
0200330,AK,02,00330,Hydaburg City School District,Unified,
0200360,AK,02,00360,Kake City School District,Unified,
0200390,AK,02,00390,Kenai Peninsula Borough School District,Unified,
0200450,AK,02,00450,Klawock City School District,Unified,
0200480,AK,02,00480,Kodiak Island Borough School District,Unified,
0200485,AK,02,00485,Lake And Peninsula School District,Unified,
0200510,AK,02,00510,Matanuska-Susitna Borough School District,Unified,
0200520,AK,02,00520,Iditarod Area School District,Unified,
0200525,AK,02,00525,Annette Island School District,Unified,
0200540,AK,02,00540,Nenana City School District,Unified,
0200570,AK,02,00570,Nome School District,Unified,
0200600,AK,02,00600,Fairbanks North Star Borough School District,Unified,
0200610,AK,02,00610,North Slope Borough School District,Unified,
0200625,AK,02,00625,Northwest Arctic Borough School District,Unified,
0200630,AK,02,00630,Pelican City School District,Unified,
0200660,AK,02,00660,Petersburg City School District,Unified,
0200670,AK,02,00670,Pribilof School District,Unified,
0200680,AK,02,00680,St. Marys City School District,Unified,
0200690,AK,02,00690,Skagway School District,Unified,
0200700,AK,02,00700,Southeast Island School District,Unified,
0200710,AK,02,00710,Southwest Region School District,Unified,
0200715,AK,02,00715,Tanana School District,Unified,
0200720,AK,02,00720,Unalaska City School District,Unified,
0200730,AK,02,00730,Chatham School District,Unified,
0200760,AK,02,00760,Kuspuk School District,Unified,
0200770,AK,02,00770,Denali Borough School District,Unified,
0200775,AK,02,00775,Yukon Flats School District,Unified,
0200780,AK,02,00780,Valdez City School District,Unified,
0200800,AK,02,00800,Chugach School District,Unified,
0200810,AK,02,00810,Wrangell City School District,Unified,
0200840,AK,02,00840,Yakutat City School District,Unified,
0200862,AK,02,00862,Yukon-Koyukuk School District,Unified,
0400001,AZ,04,00001,Cave Creek Unified District,Unified,
0400003,AZ,04,00003,Chino Valley Unified District,Unified,
0400004,AZ,04,00004,Clarkdale-Jerome Elementary District,Elementary,
0400005,AZ,04,00005,Salome Consolidated Elementary District,Elementary,
0400021,AZ,04,00021,Colorado City Unified District,Unified,
0400022,AZ,04,00022,Vernon Elementary District,Elementary,
0400023,AZ,04,00023,Pinon Unified District,Unified,
0400026,AZ,04,00026,Heber-Overgaard Unified District,Unified,
0400082,AZ,04,00082,Colorado River Union High School District,Secondary,
0400212,AZ,04,00212,Benson Unified School District,Unified,
0400295,AZ,04,00295,Kingman Unified School District,Unified,
0400450,AZ,04,00450,Agua Fria Union High School District,Secondary,
0400480,AZ,04,00480,Aguila Elementary District,Elementary,
0400520,AZ,04,00520,Ajo Unified District,Unified,
0400600,AZ,04,00600,Alhambra Elementary District,Elementary,
0400630,AZ,04,00630,Alpine Elementary District,Elementary,
0400680,AZ,04,00680,Amphitheater Unified District,Unified,
0400720,AZ,04,00720,Antelope Union High School District,Secondary,
0400750,AZ,04,00750,Apache Elementary District,Elementary,
0400790,AZ,04,00790,Apache Junction Unified District,Unified,
0400840,AZ,04,00840,Arlington Elementary District,Elementary,
0400870,AZ,04,00870,Ash Creek Elementary District,Elementary,
0400910,AZ,04,00910,Ash Fork Joint Unified District,Unified,
0400960,AZ,04,00960,Avondale Elementary District,Elementary,
0401000,AZ,04,01000,Bagdad Unified School District,Unified,
0401050,AZ,04,01050,Balsz Elementary District,Elementary,
0401080,AZ,04,01080,Beaver Creek Elementary District,Elementary,
0401160,AZ,04,01160,Bicentennial Union High School District,Secondary,
0401180,AZ,04,01180,Bisbee Unified District,Unified,
0401230,AZ,04,01230,Blue Elementary District,Elementary,
0401260,AZ,04,01260,Bonita Elementary District,Elementary,
0401290,AZ,04,01290,Bouse Elementary District,Elementary,
0401330,AZ,04,01330,Bowie Unified District,Unified,
0401380,AZ,04,01380,Buckeye Elementary District,Elementary,
0401410,AZ,04,01410,Buckeye Union High School District,Secondary,
0401460,AZ,04,01460,Sierra Vista Unified District,Unified,
0401500,AZ,04,01500,Bullhead City School District,Elementary,
0401600,AZ,04,01600,Camp Verde Unified District,Unified,
0401650,AZ,04,01650,Canon Elementary District,Elementary,
0401680,AZ,04,01680,Cartwright Elementary District,Elementary,
0401710,AZ,04,01710,Casa Grande Elementary District,Elementary,
0401740,AZ,04,01740,Casa Grande Union High School District,Secondary,
0401760,AZ,04,01760,Catalina Foothills Unified District,Unified,
0401810,AZ,04,01810,Cedar Unified District,Unified,
0401870,AZ,04,01870,Chandler Unified District,Unified,
0401920,AZ,04,01920,Chevelon Butte School District,Elementary,
0401940,AZ,04,01940,Chinle Unified District,Unified,
0402110,AZ,04,02110,Clifton Unified District,Unified,
0402130,AZ,04,02130,Cochise Elementary District,Elementary,
0402190,AZ,04,02190,Concho Elementary District,Elementary,
0402220,AZ,04,02220,Congress Elementary District,Elementary,
0402250,AZ,04,02250,Continental Elementary District,Elementary,
0402320,AZ,04,02320,Coolidge Unified District,Unified,
0402370,AZ,04,02370,Cottonwood-Oak Creek Elementary District,Elementary,
0402400,AZ,04,02400,Crane Elementary District,Elementary,
0402430,AZ,04,02430,Creighton Elementary District,Elementary,
0402460,AZ,04,02460,Crown King Elementary District,Elementary,
0402490,AZ,04,02490,Double Adobe Elementary District,Elementary,
0402530,AZ,04,02530,Douglas Unified District,Unified,
0402600,AZ,04,02600,Duncan Unified District,Unified,
0402690,AZ,04,02690,Dysart Unified District,Unified,
0402710,AZ,04,02710,Eagle Elementary District,Elementary,
0402760,AZ,04,02760,Elfrida Elementary District,Elementary,
0402790,AZ,04,02790,Eloy Elementary District,Elementary,
0402820,AZ,04,02820,Empire Elementary District,Elementary,
0402860,AZ,04,02860,Flagstaff Unified District,Unified,
0402920,AZ,04,02920,Florence Unified School District,Unified,
0403010,AZ,04,03010,Flowing Wells Unified District,Unified,
0403040,AZ,04,03040,Fountain Hills Unified District,Unified,
0403060,AZ,04,03060,Fowler Elementary District,Elementary,
0403080,AZ,04,03080,Fredonia-Moccasin Unified District,Unified,
0403150,AZ,04,03150,Fort Huachuca Accommodation District,Unified,
0403200,AZ,04,03200,Fort Thomas Unified District,Unified,
0403240,AZ,04,03240,Gadsden Elementary District,Elementary,
0403290,AZ,04,03290,Ganado Unified District,Unified,
0403310,AZ,04,03310,Gila Bend Unified District,Unified,
0403400,AZ,04,03400,Gilbert Unified District,Unified,
0403420,AZ,04,03420,Glendale Elementary District,Elementary,
0403450,AZ,04,03450,Glendale Union High School District,Secondary,
0403500,AZ,04,03500,Globe Unified District,Unified,
0403550,AZ,04,03550,Grand Canyon Unified District,Unified,
0403660,AZ,04,03660,Hackberry School District,Elementary,
0403730,AZ,04,03730,Hayden-Winkelman Unified District,Unified,
0403780,AZ,04,03780,Higley Unified District,Unified,
0403820,AZ,04,03820,Holbrook Unified District,Unified,
0403870,AZ,04,03870,Humboldt Unified District,Unified,
0403900,AZ,04,03900,Hyder Elementary District,Elementary,
0403950,AZ,04,03950,Indian Oasis-Baboquivari Unified District,Unified,
0403960,AZ,04,03960,Isaac Elementary District,Elementary,
0403990,AZ,04,03990,J. O. Combs Unified School District,Unified,
0404010,AZ,04,04010,Joseph City Unified District,Unified,
0404060,AZ,04,04060,Kayenta Unified District,Unified,
0404170,AZ,04,04170,Kirkland Elementary District,Elementary,
0404200,AZ,04,04200,Klondyke Elementary District,Elementary,
0404230,AZ,04,04230,Kyrene Elementary District,Elementary,
0404280,AZ,04,04280,Lake Havasu Unified District,Unified,
0404290,AZ,04,04290,Laveen Elementary District,Elementary,
0404320,AZ,04,04320,Liberty Elementary District,Elementary,
0404380,AZ,04,04380,Litchfield Elementary District,Elementary,
0404410,AZ,04,04410,Littlefield Unified District,Unified,
0404440,AZ,04,04440,Littleton Elementary District,Elementary,
0404500,AZ,04,04500,Madison Elementary District,Elementary,
0404530,AZ,04,04530,Maine Consolidated School District,Elementary,
0404570,AZ,04,04570,Mammoth-San Manuel Unified District,Unified,
0404630,AZ,04,04630,Marana Unified District,Unified,
0404720,AZ,04,04720,Maricopa Unified School District,Unified,
0404770,AZ,04,04770,Altar Valley Elementary District,Elementary,
0404820,AZ,04,04820,Mayer Unified District,Unified,
0404860,AZ,04,04860,McNary Elementary District,Elementary,
0404920,AZ,04,04920,McNeal Elementary District,Elementary,
0404970,AZ,04,04970,Mesa Unified District,Unified,
0405030,AZ,04,05030,Miami Unified District,Unified,
0405070,AZ,04,05070,Mingus Union High School District,Secondary,
0405100,AZ,04,05100,Mobile Elementary District,Elementary,
0405190,AZ,04,05190,Mohave Valley Elementary District,Elementary,
0405220,AZ,04,05220,Mohawk Valley Elementary District,Elementary,
0405320,AZ,04,05320,Morenci Unified District,Unified,
0405340,AZ,04,05340,Morristown Elementary District,Elementary,
0405400,AZ,04,05400,Murphy Elementary District,Elementary,
0405430,AZ,04,05430,Naco Elementary District,Elementary,
0405460,AZ,04,05460,Nadaburg Unified School District,Unified,
0405530,AZ,04,05530,Nogales Unified District,Unified,
0405640,AZ,04,05640,Oracle Elementary District,Elementary,
0405670,AZ,04,05670,Osborn Elementary District,Elementary,
0405730,AZ,04,05730,Owens-Whitney Elementary District,Elementary,
0405760,AZ,04,05760,Tonto Basin Elementary District,Elementary,
0405820,AZ,04,05820,Page Unified District,Unified,
0405850,AZ,04,05850,Palo Verde Elementary District,Elementary,
0405880,AZ,04,05880,Palominas Elementary District,Elementary,
0405930,AZ,04,05930,Paradise Valley Unified District,Unified,
0405980,AZ,04,05980,Parker Unified School District,Unified,
0406000,AZ,04,06000,Patagonia Elementary District,Elementary,
0406030,AZ,04,06030,Patagonia Union High School District,Secondary,
0406070,AZ,04,06070,Payson Unified District,Unified,
